level;id;profil_id;applicantcount;loannb;firstloan_amount;firstloan_type;firstloan_type_tax;firstloan_rate;firstloan_duration_years;firstloan_differ_months;contract_start_months;primary_applicant_sex;primary_applicant_age;primary_applicant_marital_status;post_code;primary_applicant_occupation_code;primary_applicant_contract;primary_applicant_working_time;primary_applicant_travel;primary_applicant_risk;primary_applicant_smoke;primary_applicant_share;contract_start_date;object;loan_effective;loan_one_year;lending_bank
FUR2018;19;FUR2018_19;Oui;1;286832;Amortissable;Fixe;2,29;24;35;11;Homme;43;Célibataire;13008;Recherche d'emploi;;;;;Non;1;;Résidence principale;Prêt signé;Oui;Banque populaire
FUR2018;20;FUR2018_20;Oui;1;250639;Amortissable;Fixe;2,16;21;0;1;Homme;40;Marié;77600;Chef d'entreprise;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;21;FUR2018_21;Oui;1;106433;Amortissable;Fixe;1;22;0;0;Femme;28;Célibataire;42360;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;22;FUR2018_22;Oui;1;217094;Amortissable;Fixe;2,46;19;0;5;Femme;40;Célibataire;06450;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Non;Credit Agricole
FUR2018;23;FUR2018_23;Oui;1;187946;Amortissable;Fixe;2,5;20;0;3;Homme;43;Concubinage;93400;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt à signer;;Credit mutuel
FUR2018;24;FUR2018_24;Oui;1;121365;Amortissable;Fixe;1,86;17;0;1;Homme;28;Marié;42400;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;25;FUR2018_25;Oui;1;76609;Amortissable;Fixe;1,22;30;0;3;Homme;59;Marié;24610;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Banque populaire
FUR2018;26;FUR2018_26;Oui;1;43957;Amortissable;Fixe;1,44;10;0;0;Femme;50;Célibataire;01540;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt à signer;;Credit mutuel
FUR2018;27;FUR2018_27;Oui;1;144576;Amortissable;Fixe;1,15;26;0;0;Homme;41;Pacs;12290;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;28;FUR2018_28;Oui;1;209066;Amortissable;Fixe;2,65;7;0;0;Homme;47;Célibataire;02810;Recherche d'emploi;;;;;Non;1;;Résidence principale;Prêt signé;Oui;Banque populaire
FUR2018;29;FUR2018_29;Oui;1;53983;Amortissable;Fixe;2,86;15;0;3;Homme;45;Marié;39100;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt signé;Oui;Banque populaire
FUR2018;30;FUR2018_30;Oui;1;155243;Amortissable;Fixe;1,76;10;10;0;Homme;43;Marié;62760;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;31;FUR2018_31;Oui;1;110950;Amortissable;Variable;1,54;8;0;0;Femme;26;Célibataire;81570;Salarié;CDI;Temps partiel;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;32;FUR2018_32;Oui;1;136983;Amortissable;Fixe;2,14;28;0;0;Homme;51;Célibataire;95510;Salarié cadre;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Oui;BNP Paribas
FUR2018;33;FUR2018_33;Oui;1;260347;Amortissable;Fixe;1,23;19;0;0;Homme;33;Marié;25260;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Oui;Oui;1;;Résidence principale;Prêt signé;Oui;Je ne sais pas
FUR2018;34;FUR2018_34;Oui;1;31489;Amortissable;Fixe;1,64;13;0;0;Femme;43;Célibataire;13117;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt signé;Non;BNP Paribas
FUR2018;35;FUR2018_35;Oui;1;74608;Amortissable;Fixe;3,21;28;0;0;Femme;38;Marié;62760;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;36;FUR2018_36;Oui;1;196437;Amortissable;Fixe;1,62;8;0;5;Femme;55;Divorcé;19300;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;37;FUR2018_37;Oui;1;12822;Amortissable;Fixe;1,59;14;0;3;Femme;28;Célibataire;68610;Profession Libérale;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Je ne sais pas
FUR2018;38;FUR2018_38;Oui;1;61519;Amortissable;Fixe;0,69;28;3;0;Homme;41;Marié;93210;Fonctionnaire;CDI;Temps partiel;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt à signer;;Credit mutuel
FUR2018;39;FUR2018_39;Oui;1;47482;Amortissable;Fixe;1,85;5;0;0;Femme;29;Marié;34080;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Caisse d'Epargne
FUR2018;40;FUR2018_40;Oui;1;28579;Amortissable;Fixe;1,84;14;0;3;Femme;37;Célibataire;91370;Fonctionnaire;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;41;FUR2018_41;Oui;1;59458;Amortissable;Fixe;2,59;15;0;4;Femme;53;Marié;08160;Salarié;CDD;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt à signer;;Banque populaire
FUR2018;42;FUR2018_42;Oui;1;141160;Amortissable;Fixe;1,7;8;0;0;Homme;38;Concubinage;91530;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Foncier de France
FUR2018;43;FUR2018_43;Oui;1;159318;Amortissable;Fixe;1,8;18;0;6;Homme;40;Marié;62760;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Non;Caisse d'Epargne
FUR2018;44;FUR2018_44;Oui;1;104554;Amortissable;Fixe;1,59;25;25;8;Femme;40;Célibataire;38120;Commerçant;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Credit mutuel
FUR2018;45;FUR2018_45;Oui;1;62327;Amortissable;Fixe;1,88;16;0;0;Femme;33;Marié;77000;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt à signer;;Credit mutuel
FUR2018;46;FUR2018_46;Oui;1;240014;Amortissable;Fixe;0,18;8;0;0;Femme;36;Marié;33420;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Je ne sais pas
FUR2018;47;FUR2018_47;Oui;1;211039;Amortissable;Fixe;1,68;16;0;0;Femme;32;Marié;38220;Au foyer;;;;;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;48;FUR2018_48;Oui;1;150700;Amortissable;Fixe;4,26;12;0;5;Homme;35;Pacs;78490;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;LCL
FUR2018;49;FUR2018_49;Oui;1;242634;Amortissable;Fixe;1,67;11;0;3;Femme;32;Concubinage;95510;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;Credit Agricole
FUR2018;50;FUR2018_50;Oui;1;54471;Amortissable;Fixe;1,78;21;0;5;Femme;56;Marié;03450;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Autre
FUR2018;51;FUR2018_51;Oui;1;225055;Amortissable;Fixe;1,34;21;15;3;Homme;31;Marié;25410;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;52;FUR2018_52;Oui;1;150666;Amortissable;Fixe;1,09;28;0;1;Femme;37;Marié;95160;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;53;FUR2018_53;Oui;1;79879;Amortissable;Fixe;1,81;20;0;0;Homme;28;Marié;92140;Salarié cadre;CDI;Temps plein;Plus de 30.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Oui;Caisse d'Epargne
FUR2018;54;FUR2018_54;Oui;1;136343;Amortissable;Fixe;1,64;21;0;1;Homme;53;Marié;77400;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Banque populaire
FUR2018;55;FUR2018_55;Oui;1;248216;Amortissable;Fixe;1,48;8;0;1;Femme;24;Célibataire;13200;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Foncier de France
FUR2018;56;FUR2018_56;Oui;1;51111;Amortissable;Fixe;1,47;28;0;0;Femme;44;Marié;83220;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt signé;Oui;Banque postale
FUR2018;57;FUR2018_57;Oui;1;424027;Amortissable;Fixe;1,93;26;0;0;Homme;67;Célibataire;95300;Retraité;;;;;Non;1;;Résidence principale;Prêt signé;Non;Caisse d'Epargne
FUR2018;58;FUR2018_58;Oui;1;156742;Amortissable;Fixe;2,44;15;0;4;Homme;42;Marié;44115;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Caisse d'Epargne
FUR2018;59;FUR2018_59;Oui;1;120580;Amortissable;Fixe;1,67;20;0;3;Femme;41;Célibataire;84600;Salarié cadre;CDI;Temps partiel;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Banque postale
FUR2018;60;FUR2018_60;Oui;1;173802;Amortissable;Fixe;2,71;21;5;0;Femme;32;Pacs;06450;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Foncier de France
FUR2018;61;FUR2018_61;Oui;1;185392;Amortissable;Fixe;1,89;12;9;5;Homme;23;Marié;42380;Au foyer;;;;;Non;1;;Autres;Prêt signé;Oui;Je ne sais pas
FUR2018;62;FUR2018_62;Oui;1;68624;Amortissable;Fixe;1,59;29;0;1;Homme;42;Divorcé;36140;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Société Générale
FUR2018;63;FUR2018_63;Oui;1;132265;Amortissable;Fixe;7,55;24;0;1;Femme;27;Pacs;38650;Etudiant;;;;;Non;1;;Investissement locatif;Prêt signé;Oui;Banque populaire
FUR2018;64;FUR2018_64;Oui;1;265312;Amortissable;Fixe;1,86;11;17;0;Homme;43;Marié;21140;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;65;FUR2018_65;Oui;1;366786;Amortissable;Fixe;0,55;11;0;0;Homme;38;Divorcé;34310;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;AXA banque
FUR2018;66;FUR2018_66;Oui;1;10013;In Fine;Fixe;1,37;15;0;3;Femme;49;Concubinage;84340;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit mutuel
FUR2018;67;FUR2018_67;Oui;1;172394;Amortissable;Fixe;2,4;19;0;4;Femme;54;Concubinage;42800;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Oui;Banque postale
FUR2018;68;FUR2018_68;Oui;1;255749;Amortissable;Fixe;1,84;7;0;4;Homme;37;Pacs;83920;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt à signer;;CIC
FUR2018;69;FUR2018_69;Oui;1;232582;Amortissable;Fixe;1,2;20;0;4;Homme;36;Marié;28160;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt à signer;;Caisse d'Epargne
FUR2018;70;FUR2018_70;Oui;1;170597;Amortissable;Fixe;1,97;25;0;5;Femme;39;Marié;22400;Chef d'entreprise;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Investissement locatif;Prêt signé;Oui;LCL
FUR2018;71;FUR2018_71;Oui;1;142538;Amortissable;Fixe;1,23;20;0;3;Femme;33;Concubinage;91090;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Boursorama
FUR2018;72;FUR2018_72;Oui;1;225976;Amortissable;Fixe;1,69;27;0;3;Homme;36;Marié;73630;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt signé;Oui;Credit mutuel
FUR2018;73;FUR2018_73;Oui;1;276296;Amortissable;Fixe;1,4;17;0;3;Homme;57;Marié;03300;Salarié;CDI;Temps partiel;Moins de 15.000 km par an;Non;Non;1;;Résidence secondaire;Prêt signé;Oui;LCL
FUR2018;74;FUR2018_74;Oui;1;97890;Amortissable;Fixe;2,06;21;0;4;Homme;34;Concubinage;84240;Salarié cadre;CDI;Temps plein;Plus de 30.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;LCL
FUR2018;75;FUR2018_75;Oui;1;180305;Amortissable;Fixe;2,35;23;0;0;Homme;38;Célibataire;31600;Etudiant;;;;;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;76;FUR2018_76;Oui;1;165151;Amortissable;Variable;1,64;1;0;1;Homme;30;Marié;31850;Profession Libérale;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;CIC
FUR2018;77;FUR2018_77;Oui;1;196863;Amortissable;Fixe;1,69;26;0;2;Homme;48;Marié;62760;Fonctionnaire;CDI;Temps partiel;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Société Générale
FUR2018;78;FUR2018_78;Oui;1;117644;Amortissable;Fixe;1,8;11;0;0;Homme;45;Pacs;68300;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit du Nord
FUR2018;79;FUR2018_79;Oui;1;229406;Amortissable;Variable;1,92;25;0;3;Homme;35;Marié;33820;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit du Nord
FUR2018;80;FUR2018_80;Oui;1;195214;Amortissable;Fixe;1,7;22;17;0;Homme;31;Célibataire;62760;Fonctionnaire;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Oui;Credit Agricole
FUR2018;81;FUR2018_81;Oui;1;167895;Amortissable;Fixe;1,86;30;0;3;Femme;39;Célibataire;34700;Salarié cadre;CDI;Temps partiel;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;82;FUR2018_82;Oui;1;107156;Amortissable;Fixe;1,7;19;0;4;Homme;48;Concubinage;46170;Salarié;CDD;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Non;Credit Agricole
FUR2018;83;FUR2018_83;Oui;1;209129;Amortissable;Fixe;1,69;29;0;4;Homme;30;Marié;01330;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence secondaire;Prêt à signer;;Je ne sais pas
FUR2018;84;FUR2018_84;Oui;1;267805;Amortissable;Fixe;1,5;29;0;0;Femme;37;Célibataire;06310;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Oui;1;;Résidence principale;Prêt signé;Oui;Credit mutuel
FUR2018;85;FUR2018_85;Oui;1;62988;Amortissable;Fixe;1,27;14;0;0;Homme;54;Marié;13015;Artisan;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Caisse d'Epargne
FUR2018;86;FUR2018_86;Oui;1;82324;Amortissable;Fixe;2,37;24;0;2;Femme;50;Concubinage;27260;Salarié cadre;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;Credit du Nord
FUR2018;87;FUR2018_87;Oui;1;144534;Amortissable;Fixe;1,09;18;0;3;Femme;47;Concubinage;95810;Profession Libérale;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence secondaire;Prêt signé;Oui;Credit Agricole
FUR2018;88;FUR2018_88;Oui;1;478999;Amortissable;Fixe;2,8;14;0;0;Homme;33;Pacs;30124;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Investissement locatif;Prêt signé;Oui;Je ne sais pas
FUR2018;89;FUR2018_89;Oui;1;76768;Amortissable;Fixe;1,42;1;0;0;Femme;40;Marié;14340;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;Je ne sais pas
FUR2018;90;FUR2018_90;Oui;1;340086;Amortissable;Fixe;2,46;26;0;4;Homme;27;Marié;83110;Salarié;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;HSBC
FUR2018;91;FUR2018_91;Oui;1;189360;Amortissable;Fixe;1,56;23;0;0;Homme;39;Célibataire;95670;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Non;BNP Paribas
FUR2018;92;FUR2018_92;Oui;1;236752;Amortissable;Fixe;1,76;29;0;0;Homme;51;Concubinage;41210;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Banque postale
FUR2018;93;FUR2018_93;Oui;1;313955;Amortissable;Fixe;1,48;19;0;2;Femme;47;Pacs;91860;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Autre
FUR2018;94;FUR2018_94;Oui;1;111487;Amortissable;Fixe;1,78;6;0;0;Femme;48;Célibataire;17770;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Autres;Prêt signé;Non;Société Générale
FUR2018;95;FUR2018_95;Oui;1;127410;Amortissable;Fixe;2,37;25;0;0;Femme;25;Marié;38300;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence secondaire;Prêt signé;Oui;Banque populaire
FUR2018;96;FUR2018_96;Oui;1;147775;Amortissable;Variable;3,84;18;0;0;Homme;38;Célibataire;85800;Fonctionnaire;CDD;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;BNP Paribas
FUR2018;97;FUR2018_97;Oui;1;600000;Amortissable;Fixe;1,49;19;0;4;Femme;41;Divorcé;33124;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;98;FUR2018_98;Oui;1;179687;Amortissable;Fixe;1,74;22;0;0;Femme;45;Marié;13821;Chef d'entreprise;CDI;Temps plein;Moins de 15.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Credit mutuel
FUR2018;99;FUR2018_99;Oui;1;194867;Amortissable;Fixe;2,98;29;5;3;Homme;52;Marié;77151;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Société Générale
FUR2018;100;FUR2018_100;Oui;1;343513;Amortissable;Fixe;2,03;13;0;0;Femme;28;Marié;95870;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;CIC
FUR2018;101;FUR2018_101;Oui;1;600000;Amortissable;Fixe;1,57;18;0;3;Homme;47;Marié;69720;Commerçant;CDI;Temps partiel;Entre 15.000 et 30.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;102;FUR2018_102;Oui;1;11238;Amortissable;Fixe;1,69;11;0;4;Homme;41;Marié;91330;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;103;FUR2018_103;Oui;1;68292;Amortissable;Fixe;2,23;19;0;5;Homme;31;Célibataire;83220;Salarié;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;104;FUR2018_104;Oui;1;13250;Amortissable;Fixe;1,96;10;0;5;Homme;36;Marié;88140;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt à signer;;Credit Agricole
FUR2018;105;FUR2018_105;Oui;1;66771;Amortissable;Fixe;1,85;22;0;0;Homme;35;Marié;68280;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;106;FUR2018_106;Oui;1;492538;Amortissable;Fixe;1,63;26;0;3;Homme;41;Marié;08460;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Credit Foncier de France
FUR2018;107;FUR2018_107;Oui;1;171145;Amortissable;Fixe;0,45;15;0;8;Homme;49;Pacs;17120;Chef d'entreprise;CDI;Temps plein;Entre 15.000 et 30.000 km par an;Oui;Non;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
FUR2018;108;FUR2018_108;Oui;1;240778;Amortissable;Fixe;1,2;25;0;0;Homme;32;Pacs;15800;Salarié cadre;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Résidence principale;Prêt signé;Oui;Banque postale
FUR2018;109;FUR2018_109;Oui;1;110144;Amortissable;Fixe;2,29;20;0;17;Femme;27;Marié;94320;Fonctionnaire;CDI;Temps plein;Moins de 15.000 km par an;Non;Non;1;;Investissement locatif;Prêt signé;Oui;Caisse d'Epargne
FUR2018;110;FUR2018_110;Oui;1;163315;Amortissable;Fixe;1,34;11;0;2;Homme;71;Concubinage;26310;Retraité;;;;;Oui;1;;Résidence principale;Prêt signé;Oui;Credit Agricole
