"","profilID","insurer","coverage","price.x","price.y","Var_Price","price","type","level","id","applicantcount","loannb","firstloan_amount","firstloan_type","firstloan_type_tax","firstloan_rate","firstloan_duration_years","firstloan_differ","contract_start_days","primary_applicant_sex","primary_applicant_age","primary_applicant_marital_status","post_code","primary_applicant_occupation_code","primary_applicant_contract","primary_applicant_working_time","primary_applicant_travel","primary_applicant_risk","primary_applicant_smoke","primary_applicant_share","secondary_applicant_sex","secondary_applicant_age","secondary_applicant_marital_status","secondary_applicant_occupation_code","secondary_applicant_contract","secondary_applicant_working_time","secondary_applicant_travel","secondary_applicant_risk","secondary_applicant_smoke","secondary_applicant_share","contract_start_date"
"11","LOAN2017_103","Groupe AXA","Formule Optimum",5804,5856,-0.00887978142076506,5804,"CLASSIQUE","LOAN2017",103,"Non",1,101700,"Amortissable","Variable","1,5",21,0,152,"Homme",48,"Pacs",13123,"Profession Libérale","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",0.7,"Femme","47","Marié","Fonctionnaire","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"12","LOAN2017_103","Groupe AXA","Minimum",3753,3815,-0.0162516382699869,3753,"CLASSIQUE","LOAN2017",103,"Non",1,101700,"Amortissable","Variable","1,5",21,0,152,"Homme",48,"Pacs",13123,"Profession Libérale","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",0.7,"Femme","47","Marié","Fonctionnaire","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"13","LOAN2017_104","Groupe AXA","Minimum",730,708,0.0310734463276836,730,"CLASSIQUE","LOAN2017",104,"Oui",1,132840,"Amortissable","Fixe","2",15,1,257,"Femme",27,"Célibataire",79220,"Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"14","LOAN2017_106","Groupe AXA","Formule Optimum",3288,3175,0.0355905511811023,3288,"CLASSIQUE","LOAN2017",106,"Non",1,105000,"Amortissable","Fixe","2,1",25,0,157,"Homme",39,"Marié",76220,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","32","Célibataire","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.5",NA
"15","LOAN2017_106","Groupe AXA","Minimum",2069,2000,0.0345,2069,"CLASSIQUE","LOAN2017",106,"Non",1,105000,"Amortissable","Fixe","2,1",25,0,157,"Homme",39,"Marié",76220,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","32","Célibataire","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.5",NA
"16","LOAN2017_107","Groupe AXA","Minimum",2043,2064,-0.0101744186046512,2043,"CLASSIQUE","LOAN2017",107,"Non",1,166700,"Amortissable","Fixe","2",15,0,48,"Homme",42,"Célibataire",78960,"Salarié ","CDI","Temps plein","Non","Non","Non",0.5,"Homme","38","Concubinage","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.5",NA
"17","LOAN2017_108","Groupe AXA","Formule Optimum",9445,9195,0.0271886895051658,9445,"CLASSIQUE","LOAN2017",108,"Non",1,275630,"Amortissable","Variable","1,9",25,0,306,"Homme",32,"Marié",95420,"Salarié ","TNS","Temps plein","Moins de 15.000 km par an","Non","Non",0.7,"Homme","45","Pacs","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"18","LOAN2017_108","Groupe AXA","Minimum",6028,5900,0.0216949152542374,6028,"CLASSIQUE","LOAN2017",108,"Non",1,275630,"Amortissable","Variable","1,9",25,0,306,"Homme",32,"Marié",95420,"Salarié ","TNS","Temps plein","Moins de 15.000 km par an","Non","Non",0.7,"Homme","45","Pacs","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"19","LOAN2017_109","Groupe AXA","Minimum",8384,8486,-0.0120197973132218,8384,"CLASSIQUE","LOAN2017",109,"Oui",1,305300,"Amortissable","Fixe","1,8",20,0,212,"Homme",45,"Marié",16340,"Fonctionnaire","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"20","LOAN2017_11","Groupe AXA","Formule Optimum",4224,4399,-0.039781768583769,4224,"CLASSIQUE","LOAN2017",11,"Non",1,150000,"Amortissable","Fixe","1,7",25,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"21","LOAN2017_11","Groupe AXA","Minimum",2651,2769,-0.0426146623329722,2651,"CLASSIQUE","LOAN2017",11,"Non",1,150000,"Amortissable","Fixe","1,7",25,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"22","LOAN2017_111","Groupe AXA","Formule Optimum",2621,2578,0.0166795965865012,2621,"CLASSIQUE","LOAN2017",111,"Non",1,104237,"Amortissable","Fixe","1,6",10,0,147,"Homme",58,"Concubinage",69620,"Enseignant","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","26","Célibataire","Salarié ","Intérimaire","Temps partiel","Moins de 15.000 km par an","Non","Non","0.5",NA
"23","LOAN2017_111","Groupe AXA","Minimum",1777,1773,0.00225606316976878,1777,"CLASSIQUE","LOAN2017",111,"Non",1,104237,"Amortissable","Fixe","1,6",10,0,147,"Homme",58,"Concubinage",69620,"Enseignant","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","26","Célibataire","Salarié ","Intérimaire","Temps partiel","Moins de 15.000 km par an","Non","Non","0.5",NA
"24","LOAN2017_112","Groupe AXA","Minimum",2325,2306,0.00823937554206422,2325,"CLASSIQUE","LOAN2017",112,"Oui",1,238200,"Amortissable","Fixe","2",20,2,234,"Homme",31,"Marié",75019,"Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"25","LOAN2017_114","Groupe AXA","Minimum",2117,2014,0.0511420059582919,2117,"CLASSIQUE","LOAN2017",114,"Oui",1,347496,"Amortissable","Fixe","2",18,0,139,"Femme",23,"Célibataire",49100,"Salarié cadre","CDI","Temps plein","Non","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"26","LOAN2017_115","Groupe AXA","Minimum",9818,9159,0.0719510863631401,9818,"CLASSIQUE","LOAN2017",115,"Oui",1,232790,"Amortissable","Fixe","2,1",20,0,44,"Femme",50,"Marié",69440,"Salarié cadre","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"27","LOAN2017_117","Groupe AXA","Formule Optimum",7264,7309,-0.00615679299493777,7264,"CLASSIQUE","LOAN2017",117,"Non",1,218300,"Amortissable","Fixe","1,9",25,0,234,"Homme",39,"Célibataire",75019,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.5,"Homme","36","Célibataire","Salarié ","CDI","Temps plein","Non","Oui","Non","0.5",NA
"28","LOAN2017_117","Groupe AXA","Minimum",4575,4616,-0.00888214904679374,4575,"CLASSIQUE","LOAN2017",117,"Non",1,218300,"Amortissable","Fixe","1,9",25,0,234,"Homme",39,"Célibataire",75019,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.5,"Homme","36","Célibataire","Salarié ","CDI","Temps plein","Non","Oui","Non","0.5",NA
"29","LOAN2017_12","Groupe AXA","Minimum",3713,3888,-0.0450102880658436,3713,"CLASSIQUE","LOAN2017",12,"Non",1,150000,"Amortissable","Fixe","1,7",30,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"30","LOAN2017_120","Groupe AXA","Minimum",3604,3953,-0.0882873766759423,3604,"CLASSIQUE","LOAN2017",120,"Non",1,184544,"In Fine","Fixe","1,4",15,4,188,"Femme",37,"Marié",75010,"Fonctionnaire","TNS","Temps partiel","Non","Non","Non",0.7,"Homme","34","Concubinage","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"31","LOAN2017_121","Groupe AXA","Minimum",1313,1318,-0.00379362670713201,1313,"CLASSIQUE","LOAN2017",121,"Non",1,84000,"Amortissable","Fixe","2",25,0,172,"Homme",34,"Célibataire",88000,"Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","35","Marié","Fonctionnaire","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non","0.5",NA
"32","LOAN2017_122","Groupe AXA","Formule Optimum",6701,6654,0.00706342049894793,6701,"CLASSIQUE","LOAN2017",122,"Non",1,564702,"Amortissable","Variable","1,9",20,0,163,"Homme",30,"Pacs",35680,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","23","Concubinage","Salarié cadre","Saisonnier","Temps plein","Non","Non","Non","0.5",NA
"33","LOAN2017_122","Groupe AXA","Minimum",4511,4403,0.0245287304110833,4511,"CLASSIQUE","LOAN2017",122,"Non",1,564702,"Amortissable","Variable","1,9",20,0,163,"Homme",30,"Pacs",35680,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","23","Concubinage","Salarié cadre","Saisonnier","Temps plein","Non","Non","Non","0.5",NA
"34","LOAN2017_123","Groupe AXA","Formule Optimum",7790,7267,0.0719691757258842,7790,"CLASSIQUE","LOAN2017",123,"Non",1,241427,"Amortissable","Fixe","2,3",20,0,365,"Homme",38,"Marié",78240,"Salarié ","TNS","Temps plein","Entre 15.000 et 20.000 km par an","Oui","Non",0.5,"Homme","42","Marié","Recherche d'emploi","None","None","None","None","Non","0.5",NA
"35","LOAN2017_123","Groupe AXA","Minimum",4927,4596,0.0720191470844211,4927,"CLASSIQUE","LOAN2017",123,"Non",1,241427,"Amortissable","Fixe","2,3",20,0,365,"Homme",38,"Marié",78240,"Salarié ","TNS","Temps plein","Entre 15.000 et 20.000 km par an","Oui","Non",0.5,"Homme","42","Marié","Recherche d'emploi","None","None","None","None","Non","0.5",NA
"36","LOAN2017_126","Groupe AXA","Minimum",3161,3277,-0.0353982300884956,3161,"CLASSIQUE","LOAN2017",126,"Non",1,254000,"Amortissable","Fixe","1,8",15,0,228,"Femme",42,"Célibataire",33860,"Fonctionnaire","TNS","Temps partiel","Moins de 15.000 km par an","Non","Non",0.7,"Femme","37","Divorcé","Salarié ","Saisonnier","Temps plein","Non","Non","Non","0.3",NA
"37","LOAN2017_128","Groupe AXA","Formule Optimum",2717,2719,-0.000735564545788936,2717,"CLASSIQUE","LOAN2017",128,"Non",1,116600,"Amortissable","Fixe","1,8",25,0,190,"Homme",34,"Célibataire",93110,"Profession Libérale","CDD","Temps plein","Non","Non","Non",0.7,"Homme","31","Pacs","Chef d'entreprise","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non","0.3",NA
"38","LOAN2017_128","Groupe AXA","Minimum",1696,1698,-0.00117785630153122,1696,"CLASSIQUE","LOAN2017",128,"Non",1,116600,"Amortissable","Fixe","1,8",25,0,190,"Homme",34,"Célibataire",93110,"Profession Libérale","CDD","Temps plein","Non","Non","Non",0.7,"Homme","31","Pacs","Chef d'entreprise","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non","0.3",NA
"39","LOAN2017_129","Groupe AXA","Minimum",1463,1407,0.0398009950248757,1463,"CLASSIQUE","LOAN2017",129,"Non",1,209450,"Amortissable","Fixe","1,7",15,0,120,"Homme",34,"Marié",92330,"Fonctionnaire","CDI","Temps plein","Non","Non","Non",0.7,"Femme","32","Concubinage","Chef d'entreprise","TNS","Temps plein","Non","Non","Non","0.3",NA
"40","LOAN2017_13","Groupe AXA","Formule Optimum",4257,4372,-0.0263037511436414,4257,"CLASSIQUE","LOAN2017",13,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Oui",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"41","LOAN2017_13","Groupe AXA","Minimum",2694,2776,-0.0295389048991355,2694,"CLASSIQUE","LOAN2017",13,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Oui",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"42","LOAN2017_130","Groupe AXA","Minimum",6692,6806,-0.01674992653541,6692,"CLASSIQUE","LOAN2017",130,"Non",1,194000,"Amortissable","Fixe","2,3",20,0,108,"Homme",43,"Concubinage",4250,"Salarié ","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",0.7,"Homme","54","Marié","Salarié ","TNS","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"43","LOAN2017_131","Groupe AXA","Formule Optimum",9535,8846,0.0778883111010626,9535,"CLASSIQUE","LOAN2017",131,"Non",1,102141,"Amortissable","Fixe","1,7",30,0,365,"Homme",49,"Célibataire",74160,"Salarié ","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",0.7,"Homme","26","Concubinage","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"44","LOAN2017_131","Groupe AXA","Minimum",6920,6456,0.0718711276332094,6920,"CLASSIQUE","LOAN2017",131,"Non",1,102141,"Amortissable","Fixe","1,7",30,0,365,"Homme",49,"Célibataire",74160,"Salarié ","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",0.7,"Homme","26","Concubinage","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"45","LOAN2017_132","Groupe AXA","Minimum",2206,2229,-0.0103185284881112,2206,"CLASSIQUE","LOAN2017",132,"Non",1,100490,"Amortissable","Fixe","1,5",20,0,127,"Homme",45,"Célibataire",94470,"Salarié cadre","TNS","Temps plein","Moins de 15.000 km par an","Non","Non",0.7,"Homme","33","Marié","Salarié cadre","CDD","Temps partiel","Moins de 15.000 km par an","Oui","Non","0.3",NA
"46","LOAN2017_133","Groupe AXA","Formule Optimum",4583,4093,0.119716589298803,4583,"CLASSIQUE","LOAN2017",133,"Oui",1,275980,"Amortissable","Variable","1,9",20,2,45,"Femme",32,"Marié",50250,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"47","LOAN2017_133","Groupe AXA","Minimum",2857,2540,0.124803149606299,2857,"CLASSIQUE","LOAN2017",133,"Oui",1,275980,"Amortissable","Variable","1,9",20,2,45,"Femme",32,"Marié",50250,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"48","LOAN2017_135","Groupe AXA","Formule Optimum",721,716,0.00698324022346375,721,"CLASSIQUE","LOAN2017",135,"Non",1,69000,"Amortissable","Fixe","2,3",15,3,166,"Homme",34,"Marié",33220,"Salarié cadre","CDI","Temps partiel","Moins de 15.000 km par an","Non","Non",0.7,"Homme","26","Concubinage","Salarié ","TNS","Temps partiel","Non","Non","Non","0.3",NA
"49","LOAN2017_135","Groupe AXA","Minimum",458,452,0.0132743362831858,458,"CLASSIQUE","LOAN2017",135,"Non",1,69000,"Amortissable","Fixe","2,3",15,3,166,"Homme",34,"Marié",33220,"Salarié cadre","CDI","Temps partiel","Moins de 15.000 km par an","Non","Non",0.7,"Homme","26","Concubinage","Salarié ","TNS","Temps partiel","Non","Non","Non","0.3",NA
"50","LOAN2017_136","Groupe AXA","Minimum",3861,4387,-0.119899703669934,3861,"CLASSIQUE","LOAN2017",136,"Non",1,265495,"Amortissable","Fixe","1,8",12,1,188,"Femme",40,"Marié",71460,"Salarié ","TNS","Temps plein","Non","Non","oui",0.7,"Homme","38","Marié","Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","oui","0.3",NA
"51","LOAN2017_137","Groupe AXA","Minimum",4793,4800,-0.00145833333333334,4793,"CLASSIQUE","LOAN2017",137,"Non",1,327000,"Amortissable","Fixe","1,9",20,0,196,"Homme",34,"Célibataire",94240,"Fonctionnaire","CDI","Temps plein","Non","Non","Non",0.5,"Homme","35","Marié","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Oui","oui","0.5",NA
"52","LOAN2017_138","Groupe AXA","Minimum",2396,2407,-0.00457000415454922,2396,"CLASSIQUE","LOAN2017",138,"Non",1,176853,"Amortissable","Fixe","1,5",20,0,119,"Homme",40,"Célibataire",59670,"Salarié ","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",0.5,"Homme","30","Pacs","Salarié ","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non","0.5",NA
"53","LOAN2017_14","Groupe AXA","Formule Optimum",6615,6933,-0.0458675897879706,6615,"CLASSIQUE","LOAN2017",14,"Non",1,150000,"In Fine","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"54","LOAN2017_14","Groupe AXA","Minimum",5084,5336,-0.0472263868065967,5084,"CLASSIQUE","LOAN2017",14,"Non",1,150000,"In Fine","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Salarié cadre","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"55","LOAN2017_140","Groupe AXA","Minimum",11003,11231,-0.0203009527201495,11003,"CLASSIQUE","LOAN2017",140,"Non",1,247600,"Amortissable","Fixe","1,5",20,0,99,"Femme",55,"Marié",29810,"Fonctionnaire","CDI","Temps plein","Non","Oui","Non",0.5,"Homme","44","Marié","Commerçant","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.5",NA
"56","LOAN2017_141","Groupe AXA","Formule Optimum",627,630,-0.00476190476190474,627,"CLASSIQUE","LOAN2017",141,"Non",1,35590,"Amortissable","Fixe","2",15,0,183,"Homme",30,"Pacs",69480,"Salarié cadre","CDI","Temps plein","Non","Non","oui",0.5,"Homme","40","Pacs","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.5",NA
"57","LOAN2017_141","Groupe AXA","Minimum",400,400,0,400,"CLASSIQUE","LOAN2017",141,"Non",1,35590,"Amortissable","Fixe","2",15,0,183,"Homme",30,"Pacs",69480,"Salarié cadre","CDI","Temps plein","Non","Non","oui",0.5,"Homme","40","Pacs","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.5",NA
"58","LOAN2017_142","Groupe AXA","Minimum",2405,2332,0.0313036020583191,2405,"CLASSIQUE","LOAN2017",142,"Oui",1,293300,"Amortissable","Variable","1,8",22,0,91,"Homme",25,"Célibataire",1200,"Salarié cadre","CDI","Temps plein","Non","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"59","LOAN2017_143","Groupe AXA","Minimum",1911,1923,-0.00624024960998437,1911,"CLASSIQUE","LOAN2017",143,"Non",1,128375,"Amortissable","Variable","2,2",20,0,161,"Homme",41,"Célibataire",95580,"Chef d'entreprise","CDI","Temps plein","Non","Non","Non",0.5,"Homme","31","Célibataire","Fonctionnaire","CDI","Temps plein","Non","Non","Non","0.5",NA
"60","LOAN2017_144","Groupe AXA","Minimum",1213,1158,0.0474956822107082,1213,"CLASSIQUE","LOAN2017",144,"Oui",1,176000,"Amortissable","Fixe","1,6",20,3,115,"Homme",23,"Célibataire",91620,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"61","LOAN2017_146","Groupe AXA","Formule Optimum",20329,18764,0.0834043913877638,20329,"CLASSIQUE","LOAN2017",146,"Non",1,142510,"Amortissable","Fixe","1,4",25,0,0,"Homme",56,"Pacs",94460,"Salarié ","CDI","Temps plein","Non","Non","Non",0.7,"Homme","58","Marié","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"62","LOAN2017_146","Groupe AXA","Minimum",16400,15299,0.0719654879403882,16400,"CLASSIQUE","LOAN2017",146,"Non",1,142510,"Amortissable","Fixe","1,4",25,0,0,"Homme",56,"Pacs",94460,"Salarié ","CDI","Temps plein","Non","Non","Non",0.7,"Homme","58","Marié","Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non","0.3",NA
"63","LOAN2017_147","Groupe AXA","Minimum",602,601,0.00166389351081531,602,"CLASSIQUE","LOAN2017",147,"Oui",1,58000,"Amortissable","Fixe","1,6",20,0,143,"Homme",34,"Pacs",92240,"Salarié ","CDI","Temps plein","Entre 15.000 et 20.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"64","LOAN2017_148","Groupe AXA","Minimum",683,690,-0.0101449275362319,683,"CLASSIQUE","LOAN2017",148,"Oui",1,50690,"Amortissable","Fixe","2,2",17,3,276,"Homme",39,"Concubinage",34400,"Salarié cadre","TNS","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"65","LOAN2017_149","Groupe AXA","Minimum",1986,1971,0.00761035007610356,1986,"CLASSIQUE","LOAN2017",149,"Oui",1,206000,"Amortissable","Fixe","1,8",20,0,140,"Homme",31,"Célibataire",69930,"Salarié cadre","CDI","Temps plein","Moins de 15.000 km par an","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"66","LOAN2017_15","Groupe AXA","Formule Optimum",4074,4187,-0.0269882971101026,4074,"CLASSIQUE","LOAN2017",15,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Agriculteur","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"67","LOAN2017_15","Groupe AXA","Minimum",2343,2423,-0.0330169211721008,2343,"CLASSIQUE","LOAN2017",15,"Non",1,150000,"Amortissable","Fixe","1,7",20,0,70,"Homme",36,"Marié",75006,"Agriculteur","CDI","Temps plein","Non","Non","Non",0.7,"Femme","37","Marié","Salarié cadre","CDI","Temps plein","Non","Non","Non","0.3",NA
"68","LOAN2017_150","Groupe AXA","Formule Optimum",6818,6893,-0.0108806035108081,6818,"CLASSIQUE","LOAN2017",150,"Oui",1,146375,"Amortissable","Fixe","1,7",20,0,216,"Femme",46,"Divorcé",94480,"Salarié cadre","CDI","Temps plein","Non","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
"69","LOAN2017_150","Groupe AXA","Minimum",4348,4413,-0.0147292091547701,4348,"CLASSIQUE","LOAN2017",150,"Oui",1,146375,"Amortissable","Fixe","1,7",20,0,216,"Femme",46,"Divorcé",94480,"Salarié cadre","CDI","Temps plein","Non","Non","Non",1,"None","None","None","None","None","None","None","None","None","None",NA
